问题: 对北控水务 (00371)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date open high  low close week_change_pct volume_ratio turnover_rate  ema5 ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow    inst_5ma     ind_5ma
2026-02-06 2.59 2.88 2.57  2.87          10.38%        1.683         2.41% 2.628 2.475  2.171  2.075         0.0601        金叉延续 73.24         -6,071,580     124,699,120   1,341,236  10,523,580
2026-02-13 2.86 2.89 2.68  2.71          -5.57%        1.020         1.46% 2.656 2.498  2.182  2.081         0.0630        金叉延续 62.36         -8,882,600        -699,160  -2,737,392   8,733,384
2026-02-20 2.74 2.79 2.71  2.78           2.58%        0.159         0.16% 2.697 2.525  2.193  2.088         0.0695        金叉延续 64.82          3,710,000      11,853,140     -57,392  16,301,136
2026-02-27 2.78 2.83 2.68  2.74          -1.44%        1.015         1.03% 2.711 2.545  2.204  2.094         0.0637        金叉延续 62.32        -11,930,000     -42,200,000  -3,576,944   9,298,980
2026-03-06 2.70 2.80 2.60  2.77           1.09%        1.185         1.33% 2.731 2.567  2.216  2.101         0.0593        金叉延续 63.46            930,200     -17,823,380  -4,448,796  15,165,944
2026-03-13 2.78 2.78 2.62  2.75          -0.72%        0.977         1.09% 2.737 2.584  2.226  2.107         0.0494        金叉延续 62.11        -12,026,740     -33,476,260  -5,639,828 -16,469,132
2026-03-20 2.73 2.82 2.65  2.70          -1.82%        1.029         1.17% 2.725 2.595  2.235  2.113         0.0328        金叉延续 58.74        -13,216,360       1,289,020  -6,506,580 -16,071,496
2026-03-27 2.67 2.77 2.56  2.60          -3.70%        1.166         1.43% 2.683 2.596  2.243  2.118         0.0062        金叉延续 52.60        -17,099,260      16,065,780 -10,668,432 -15,228,968
2026-04-03 2.59 2.73 2.55  2.69           3.46%        0.627         0.66% 2.685 2.605  2.252  2.124        -0.0008          死叉 56.96          3,428,300      12,572,280  15,087,040  24,383,936
2026-04-10 2.67 2.75 2.63  2.65          -1.49%        0.440         0.36% 2.674 2.609  2.259  2.129        -0.0119        死叉延续 54.56          2,930,000     -12,662,680  -7,196,812  -3,242,372
2026-04-17 2.62 2.67 2.58  2.60          -1.89%        1.098         0.94% 2.649 2.608  2.266  2.134        -0.0262        死叉延续 51.63         17,050,200      23,588,800  -1,381,424   8,170,640
2026-04-24 2.59 2.78 2.59  2.66           2.31%        1.503         1.71% 2.653 2.613  2.274  2.139        -0.0277        死叉延续 54.77         -1,239,020       2,960,340   1,014,044   8,504,904
2026-05-01 2.66 2.75 2.64  2.67           0.38%        0.640         0.61% 2.658 2.618  2.282  2.144        -0.0273        死叉延续 55.29          6,181,180      23,629,860  16,228,060  28,877,816
2026-05-08 2.67 2.80 2.64  2.74           2.62%        0.810         0.72% 2.686 2.630  2.291  2.150        -0.0181        死叉延续 58.86         -4,601,020      22,625,980   4,064,268  12,028,460
2026-05-15 2.74 2.89 2.74  2.85           4.01%        1.155         1.10% 2.740 2.651  2.302  2.157         0.0013          金叉 63.76         -3,357,360     111,650,000   2,806,796  36,890,996
2026-05-22 2.85 2.87 2.69  2.71          -4.91%        1.155         1.19% 2.730 2.657  2.310  2.163        -0.0058          死叉 54.81          9,351,820      66,510,000   1,267,120  45,475,236
2026-05-29 2.70 2.77 2.61  2.63          -2.95%        0.871         0.86% 2.697 2.654  2.316  2.167        -0.0215        死叉延续 50.45          2,097,060      57,298,340   1,934,336  56,342,836
2026-06-05 2.63 2.66 2.45  2.52          -4.18%        1.470         1.87% 2.638 2.641  2.320  2.171        -0.0456        死叉延续 45.14         -9,262,620     -26,530,000  -1,154,424  46,310,864
2026-06-12 2.50 2.53 2.44  2.48          -1.59%        0.829         0.98% 2.585 2.626  2.324  2.174        -0.0646        死叉延续 43.35          6,196,440      10,348,440   1,005,068  43,855,356
2026-06-19 2.48 2.52 2.33  2.36          -4.84%        0.746         0.78% 2.510 2.601  2.324  2.176        -0.0895        死叉延续 38.43         -7,933,280      10,595,620     579,404  14,629,308
2026-06-26 2.36 2.37 2.24  2.26          -4.24%        0.617         0.54% 2.427 2.568  2.323  2.177        -0.1140        死叉延续 34.88          6,470,960       8,570,020    -486,288  12,056,484
2026-07-03 2.26 2.31 2.23  2.29           1.33%        0.754         0.59% 2.381 2.542  2.322  2.178        -0.1201        死叉延续 36.77        -12,457,440       3,397,680  -3,397,188   1,276,352
2026-07-10 2.34 2.36 2.26  2.30           0.44%        0.653         0.45% 2.354 2.519  2.322  2.179        -0.1167        死叉延续 37.42         11,484,180        -586,740     752,172   6,465,004
2026-07-17 2.30 2.39 2.26  2.39           3.91%        0.957         0.62% 2.366 2.506  2.323  2.181        -0.0970        死叉延续 43.10          1,254,800      14,570,060    -236,156   7,309,328
2026-07-24 2.40 2.49 2.32  2.35          -1.67%        1.345         1.06% 2.361 2.491  2.324  2.183        -0.0844        死叉延续 41.31         15,453,760     -11,459,340   4,441,252   2,898,336
2026-07-31 2.35 2.41 2.31  2.31          -1.70%        1.086         0.89% 2.344 2.474  2.324  2.184        -0.0769        死叉延续 39.53        -11,451,560      39,216,500     856,748   9,027,632
2026-08-07 2.33 2.36 2.23  2.24          -3.03%        1.001         0.83% 2.309 2.452  2.322  2.185        -0.0765        死叉延续 36.58        -11,576,500      39,975,540   1,032,936  16,343,204
2026-08-14 2.24 2.28 2.22  2.24           0.00%        0.694         0.50% 2.286 2.432  2.320  2.185        -0.0716        死叉延续 36.58          1,881,810      16,073,030    -887,538  19,675,158
2026-08-21 2.24 2.26 2.17  2.19          -2.23%        1.051         0.77% 2.254 2.409  2.318  2.185        -0.0702        死叉延续 34.44            729,760      -9,583,700    -992,546  14,844,406
2026-08-28 2.19 2.19 1.64  1.72         -21.46%        2.412         5.98% 2.076 2.343  2.306  2.181        -0.1246        死叉延续 21.65        -88,863,790      16,916,600 -14,965,590  14,664,256

--------------------------------------------------------------------------------
生成时间: 2026-08-28 17:48:22
